record_id,facility_name,facility_type,district,latitude,longitude,coordinate_quality,coordinate_source_name,coordinate_source_data_year,facility_source_url,notes
EDU-001,SMAN 1 SUNGAI RAYA,Sekolah,SUNGAI RAYA,-0.0762,109.3758,official_exact,Kemendikdasmen - Referensi Data Pendidikan,,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101104,Koordinat resmi pada profil sekolah; gunakan digit koordinat persis.
EDU-002,SMAN 1 SUNGAI KAKAP,Sekolah,SUNGAI KAKAP,-0.0565,109.2021,official_exact,Kemendikdasmen - Referensi Data Pendidikan,,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101107,Koordinat resmi pada profil sekolah; gunakan digit koordinat persis.
EDU-003,SMP NEGERI 1 TERENTANG,Sekolah,TERENTANG,-0.3839,109.6277,official_exact,Kemendikdasmen - Referensi Data Pendidikan,,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30100908,Koordinat resmi pada profil sekolah; gunakan digit koordinat persis.
EDU-004,SMAN 1 KUBU,Sekolah,KUBU,-0.4882,109.3812,official_exact,Kemendikdasmen - Referensi Data Pendidikan,,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101121,NPSN 30101121 adalah SMAN 1 Kubu Kabupaten Kubu Raya; gunakan digit koordinat persis.
EDU-005,SD NEGERI 22 BATU AMPAR,Sekolah,BATU AMPAR,-0.7245,109.5745,official_exact,Kemendikdasmen - Referensi Data Pendidikan,,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30108035,Koordinat resmi pada profil sekolah; gunakan digit koordinat persis.
EDU-006,SD NEGERI 07 BATU AMPAR,Sekolah,BATU AMPAR,-0.7516,109.5388,official_exact,Kemendikdasmen - Referensi Data Pendidikan,,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30101619,Koordinat resmi pada profil sekolah; gunakan digit koordinat persis.
EDU-007,SMKN 1 BATU AMPAR,Sekolah,BATU AMPAR,-0.7849,109.4548,official_exact,Kemendikdasmen - Referensi Data Pendidikan,,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/30109720,Koordinat resmi pada profil sekolah; gunakan digit koordinat persis.
HLT-001,PUSKESMAS PADANG TIKAR,Puskesmas,BATU AMPAR,-0.68395,109.27088,official_exact,Dinas Kesehatan Kabupaten Kubu Raya,2021,https://pkm-padangtikar.kuburayakab.go.id/,Koordinat resmi berasal dari dataset Dinkes 2021; jangan nyatakan sebagai koordinat 2026.
HLT-002,PUSKESMAS SUNGAI KERAWANG,Puskesmas,BATU AMPAR,-0.84319384,109.7554378,official_exact,Dinas Kesehatan Kabupaten Kubu Raya,2021,https://pkm-sungaikerawang.kuburayakab.go.id/,Koordinat resmi berasal dari dataset Dinkes 2021; jangan nyatakan sebagai koordinat 2026.
HLT-003,PUSKESMAS KUBU,Puskesmas,KUBU,-0.50136262,109.3756266,official_exact,Dinas Kesehatan Kabupaten Kubu Raya,2021,https://pkm-kubu.kuburayakab.go.id/,Koordinat resmi berasal dari dataset Dinkes 2021; jangan nyatakan sebagai koordinat 2026.
